,CD_MUN,latitude,longitude,municipio
253,4217105,-28.124556708734076,-48.97190447556622,São Martinho
254,4217154,-26.689643491003483,-53.23996170119908,São Miguel da Boa Vista
255,4217204,-26.727236944731406,-53.51212123092325,São Miguel do Oeste
256,4217253,-27.591567381186138,-48.837130751483066,São Pedro de Alcântara
257,4217303,-26.89720679402398,-53.04001442530173,Saudades
258,4217402,-26.36795231023243,-49.06045571561801,Schroeder
259,4217501,-27.147832610525413,-52.34069428230799,Seara
260,4217550,-26.69262092171896,-53.0252384398724,Serra Alta
261,4217600,-28.58327160078786,-49.526695700067904,Siderópolis
262,4217709,-29.070190675497283,-49.6559270933593,Sombrio
263,4217758,-26.695341808174227,-52.94680043392991,Sul Brasil
264,4217808,-27.078455806270693,-50.092434824380845,Taió
265,4217907,-27.147028474882347,-51.14706907793429,Tangará
266,4217956,-26.676066622551186,-53.15654614606529,Tigrinhos
267,4218004,-27.247563296595885,-48.70088637061579,Tijucas
268,4218103,-28.8073934512733,-49.86846229280308,Timbé do Sul
269,4218202,-26.808191984335508,-49.268848087269895,Timbó
270,4218251,-26.624253499023233,-50.66563354765527,Timbó Grande
271,4218301,-26.16992128272165,-50.255230158464954,Três Barras
272,4218350,-28.499162004094863,-49.489841195227676,Treviso
273,4218400,-28.566224209216447,-49.15419058150752,Treze de Maio
274,4218509,-26.964791254360083,-51.44935440560939,Treze Tílias
275,4218608,-27.312097301154424,-49.81141612505136,Trombudo Central
276,4218707,-28.48158146246524,-49.03724862155106,Tubarão
277,4218756,-26.988116577060975,-53.64994894871563,Tunápolis
278,4218806,-28.903082181075938,-49.70342183732695,Turvo
279,4218855,-26.786666327181376,-52.85600990552198,União do Oeste
280,4218905,-28.038876224405293,-49.57745827407624,Urubici
281,4218954,-28.023654070551256,-49.90088889407842,Urupema
282,4219002,-28.4926994380424,-49.32827746452854,Urussanga
283,4219101,-26.77869255231926,-52.12417603836292,Vargeão
284,4219150,-27.46687704848312,-50.95046385540894,Vargem
285,4219176,-26.944996335664232,-51.7566311514641,Vargem Bonita
286,4219200,-27.38788245270673,-49.34775257609078,Vidal Ramos
287,4219309,-27.006590429997193,-51.126791458112294,Videira
288,4219358,-26.826433538775674,-49.84520206839082,Vitor Meireles
289,4219408,-26.937345110004777,-49.84176100206415,Witmarsum
290,4219507,-26.87227935615384,-52.409753977893864,Xanxerê
291,4219606,-27.02121446664788,-52.321889849825574,Xavantina
292,4219705,-26.97030880074372,-52.52910542362624,Xaxim
293,4219853,-27.47698781177276,-51.535614862678045,Zortéa
294,4220000,-28.8267399540157,-49.25423722484238,Balneário Rincão
